iter	Passed	Remaining
0	101	101121
1	103	51477
2	104	34870
3	106	26570
4	110	21960
5	113	18745
6	115	16445
7	117	14598
8	119	13137
9	122	12105
10	124	11163
11	126	10388
12	127	9704
13	130	9176
14	134	8824
15	136	8403
16	138	8006
17	140	7649
18	142	7339
19	144	7057
20	145	6799
21	151	6727
22	156	6646
23	159	6469
24	160	6273
25	163	6117
26	165	5959
27	166	5796
28	172	5765
29	175	5672
30	178	5588
31	180	5450
32	182	5337
33	183	5220
34	185	5103
35	186	4991
36	187	4886
37	189	4799
38	196	4844
39	198	4755
40	200	4685
41	201	4603
42	203	4525
43	207	4501
44	209	4439
45	210	4366
46	214	4353
47	221	4386
48	222	4323
49	224	4258
50	225	4195
51	226	4135
52	228	4075
53	229	4018
54	230	3963
55	232	3913
56	236	3910
57	242	3942
58	244	3905
59	246	3861
60	248	3819
61	252	3813
62	253	3771
63	254	3728
64	256	3687
65	257	3647
66	259	3608
67	260	3575
68	263	3558
69	267	3552
70	268	3519
71	270	3486
72	271	3452
73	273	3420
74	274	3388
75	277	3368
76	280	3357
77	281	3329
78	286	3342
79	289	3330
80	292	3314
81	294	3296
82	295	3261
83	296	3234
84	297	3206
85	299	3179
86	300	3154
87	305	3169
88	310	3173
89	311	3151
90	313	3130
91	314	3106
92	316	3083
93	317	3060
94	318	3037
95	320	3014
96	325	3030
97	327	3011
98	334	3045
99	340	3068
100	343	3055
101	344	3034
102	346	3014
103	347	2994
104	348	2974
105	350	2956
106	352	2940
107	354	2929
108	357	2921
109	361	2923
110	362	2905
111	364	2888
112	366	2873
113	373	2903
114	375	2887
115	377	2874
116	379	2865
117	381	2848
118	386	2863
119	390	2860
120	392	2849
121	393	2833
122	396	2827
123	401	2834
124	402	2820
125	405	2810
126	407	2803
127	410	2793
128	412	2783
129	418	2802
130	421	2796
131	422	2780
132	424	2766
133	425	2751
134	427	2737
135	430	2732
136	435	2740
137	436	2726
138	438	2715
139	440	2702
140	441	2691
141	442	2674
142	446	2678
143	450	2676
144	451	2664
145	454	2657
146	455	2644
147	457	2631
148	460	2631
149	463	2625
150	466	2620
151	467	2607
152	469	2601
153	479	2634
154	482	2627
155	483	2616
156	485	2605
157	486	2591
158	487	2580
159	489	2571
160	491	2562
161	493	2553
162	495	2543
163	496	2531
164	497	2518
165	498	2506
166	499	2493
167	501	2481
168	502	2469
169	508	2482
170	510	2475
171	512	2467
172	514	2458
173	516	2451
174	517	2441
175	522	2446
176	524	2437
177	525	2426
178	526	2416
179	528	2405
180	529	2396
181	530	2385
182	532	2375
183	533	2365
184	537	2368
185	539	2360
186	540	2350
187	542	2341
188	543	2331
189	544	2321
190	545	2312
191	547	2302
192	552	2311
193	555	2305
194	556	2297
195	557	2288
196	560	2282
197	561	2273
198	562	2265
199	565	2261
200	567	2256
201	569	2248
202	570	2239
203	571	2230
204	572	2221
205	574	2212
206	575	2203
207	577	2199
208	580	2196
209	581	2189
210	583	2180
211	584	2172
212	585	2163
213	586	2155
214	588	2146
215	590	2141
216	594	2145
217	596	2138
218	597	2132
219	599	2124
220	600	2117
221	601	2109
222	603	2101
223	604	2094
224	605	2086
225	613	2101
226	615	2095
227	616	2088
228	620	2088
229	621	2081
230	626	2086
231	628	2080
232	629	2072
233	631	2066
234	632	2059
235	633	2051
236	634	2044
237	636	2036
238	639	2034
239	643	2037
240	645	2033
241	646	2026
242	648	2018
243	649	2012
244	651	2006
245	655	2009
246	659	2010
247	660	2003
248	662	1996
249	663	1990
250	664	1983
251	665	1976
252	667	1969
253	672	1974
254	674	1970
255	675	1963
256	677	1958
257	679	1953
258	680	1947
259	682	1941
260	686	1943
261	691	1946
262	692	1940
263	693	1933
264	694	1927
265	696	1920
266	700	1923
267	702	1919
268	706	1918
269	707	1913
270	708	1907
271	710	1900
272	711	1894
273	712	1888
274	715	1887
275	718	1884
276	721	1884
277	723	1879
278	725	1874
279	726	1868
280	730	1869
281	733	1866
282	735	1863
283	736	1857
284	738	1851
285	739	1845
286	746	1855
287	749	1852
288	751	1847
289	752	1843
290	754	1837
291	755	1831
292	756	1825
293	758	1822
294	764	1827
295	766	1822
296	768	1818
297	769	1812
298	770	1807
299	771	1801
300	776	1802
301	780	1802
302	781	1797
303	782	1792
304	784	1787
305	791	1793
306	792	1789
307	795	1788
308	799	1787
309	800	1782
310	802	1777
311	804	1773
312	805	1768
313	807	1764
314	809	1761
315	811	1756
316	813	1753
317	816	1751
318	818	1746
319	819	1741
320	825	1746
321	827	1742
322	829	1739
323	830	1733
324	832	1728
325	833	1722
326	835	1720
327	844	1730
328	846	1725
329	847	1720
330	848	1714
331	849	1709
332	850	1704
333	853	1702
334	862	1711
335	863	1706
336	865	1702
337	866	1697
338	874	1705
339	881	1711
340	893	1725
341	894	1721
342	895	1715
343	900	1717
344	903	1715
345	905	1712
346	907	1707
347	908	1702
348	914	1705
349	916	1702
350	922	1706
351	924	1702
352	931	1706
353	933	1704
354	935	1698
355	936	1693
356	940	1693
357	948	1700
358	950	1696
359	951	1692
360	953	1687
361	954	1682
362	955	1677
363	968	1691
364	970	1688
365	973	1685
366	975	1683
367	978	1680
368	980	1677
369	982	1672
370	983	1668
371	990	1672
372	993	1669
373	995	1666
374	1038	1731
375	1041	1729
376	1044	1725
377	1045	1721
378	1049	1720
379	1055	1721
380	1057	1718
381	1059	1714
382	1062	1711
383	1064	1707
384	1065	1702
385	1069	1701
386	1072	1698
387	1105	1744
388	1107	1739
389	1118	1748
390	1120	1745
391	1122	1741
392	1124	1736
393	1125	1731
394	1127	1727
395	1129	1722
396	1134	1723
397	1136	1718
398	1137	1713
399	1139	1709
400	1141	1704
401	1142	1700
402	1144	1695
403	1192	1758
404	1193	1754
405	1199	1755
406	1201	1750
407	1203	1745
408	1204	1740
409	1207	1737
410	1208	1732
411	1210	1727
412	1216	1729
413	1218	1724
414	1220	1719
415	1221	1715
416	1223	1710
417	1224	1705
418	1229	1704
419	1231	1700
420	1232	1695
421	1273	1744
422	1275	1739
423	1277	1735
424	1279	1730
425	1280	1725
426	1282	1721
427	1284	1716
428	1286	1712
429	1291	1711
430	1293	1707
431	1296	1704
432	1298	1700
433	1300	1696
434	1303	1693
435	1326	1715
436	1328	1711
437	1329	1706
438	1331	1701
439	1333	1697
440	1335	1692
441	1341	1693
442	1343	1688
443	1345	1684
444	1346	1679
445	1348	1674
446	1350	1670
447	1353	1667
448	1355	1663
449	1357	1659
450	1359	1654
451	1362	1651
452	1364	1647
453	1365	1642
454	1369	1640
455	1371	1636
456	1373	1631
457	1374	1626
458	1376	1622
459	1378	1617
460	1381	1615
461	1387	1615
462	1388	1610
463	1390	1606
464	1391	1601
465	1392	1596
466	1393	1590
467	1395	1585
468	1396	1581
469	1400	1579
470	1402	1574
471	1403	1570
472	1405	1565
473	1406	1561
474	1408	1556
475	1409	1551
476	1411	1547
477	1414	1545
478	1417	1542
479	1420	1538
480	1422	1535
481	1424	1530
482	1425	1526
483	1427	1522
484	1431	1519
485	1433	1515
486	1434	1511
487	1436	1506
488	1437	1501
489	1439	1498
490	1441	1494
491	1443	1490
492	1444	1485
493	1446	1481
494	1447	1477
495	1449	1472
496	1450	1468
497	1452	1463
498	1455	1460
499	1457	1457
500	1458	1453
501	1460	1448
502	1461	1444
503	1463	1439
504	1464	1435
505	1466	1431
506	1470	1430
507	1473	1426
508	1474	1422
509	1476	1418
510	1477	1413
511	1478	1409
512	1479	1404
513	1481	1400
514	1482	1395
515	1485	1393
516	1487	1389
517	1489	1385
518	1490	1381
519	1492	1377
520	1493	1373
521	1494	1368
522	1496	1364
523	1499	1362
524	1502	1359
525	1503	1355
526	1505	1351
527	1506	1347
528	1508	1342
529	1509	1338
530	1511	1334
531	1514	1332
532	1516	1328
533	1518	1324
534	1520	1321
535	1522	1318
536	1524	1314
537	1525	1309
538	1529	1308
539	1531	1304
540	1534	1301
541	1535	1297
542	1536	1293
543	1538	1289
544	1540	1286
